,year,hood_id,neighborhood,district,type,frequency
126,2012,110513,Karlshorst,Lichtenberg,robbery,35
127,2012,121031,Ost 1  Reginhardstr.,Reinickendorf,robbery,234
128,2012,121032,Ost 2  AltReinickendorf,Reinickendorf,robbery,196
129,2012,122141,West 1  TegelSüd/Flughafensee,Reinickendorf,robbery,76
130,2012,122144,West 4  AugusteViktoriaAllee,Reinickendorf,robbery,196
131,2012,122145,West 5  Tegel/Tegeler Forst,Reinickendorf,robbery,235
132,2012,122242,West 2  Heiligensee/Konradshöhe,Reinickendorf,robbery,34
133,2012,122311,Nord 1  Frohnau/Hermsdorf,Reinickendorf,robbery,61
134,2012,123012,Nord 2  Waidmannslust/Wittenau/Lübars,Reinickendorf,robbery,130
135,2012,123021,MV 1  Märkisches Viertel,Reinickendorf,robbery,144
136,2012,123022,MV 2  Rollbergsiedlung,Reinickendorf,robbery,110
137,2012,123043,West 3  Borsigwalde/Freie Scholle,Reinickendorf,robbery,94
138,2013,10111,Tiergarten Süd,Mitte,robbery,676
139,2013,10112,Regierungsviertel,Mitte,robbery,570
140,2013,10113,Alexanderplatz,Mitte,robbery,492
141,2013,10114,Brunnenstraße Süd,Mitte,robbery,154
142,2013,10221,Moabit West,Mitte,robbery,220
143,2013,10222,Moabit Ost,Mitte,robbery,215
144,2013,10331,Osloer Straße,Mitte,robbery,345
145,2013,10332,Brunnenstraße Nord,Mitte,robbery,352
146,2013,10441,Parkviertel,Mitte,robbery,205
147,2013,10442,Wedding Zentrum,Mitte,robbery,296
148,2013,20101,Südliche Friedrichstadt,FriedrichshainKreuzberg,robbery,316
149,2013,20202,Tempelhofer Vorstadt,FriedrichshainKreuzberg,robbery,231
150,2013,20303,nördliche Luisenstadt,FriedrichshainKreuzberg,robbery,621
151,2013,20304,südliche Luisenstadt,FriedrichshainKreuzberg,robbery,794
152,2013,20405,KarlMarxAlleeNord,FriedrichshainKreuzberg,robbery,138
153,2013,20407,KarlMarxAlleeSüd,FriedrichshainKreuzberg,robbery,372
154,2013,20506,Frankfurter Allee Nord,FriedrichshainKreuzberg,robbery,120
155,2013,20508,Frankfurter Allee Süd FK,FriedrichshainKreuzberg,robbery,262
156,2013,30101,Buch,Pankow,robbery,89
157,2013,30202,Blankenfelde/Niederschönhausen,Pankow,robbery,62
158,2013,30203,Buchholz,Pankow,robbery,18
159,2013,30304,Karow,Pankow,robbery,21
160,2013,30307,Blankenburg/Heinersdorf/Märchenland,Pankow,robbery,42
161,2013,30405,Schönholz/Wilhelmsruh/Rosenthal,Pankow,robbery,87
162,2013,30406,Pankow Zentrum,Pankow,robbery,111
163,2013,30408,Pankow Süd,Pankow,robbery,49
164,2013,30509,Weißensee,Pankow,robbery,83
165,2013,30510,Weißensee Ost,Pankow,robbery,73
166,2013,30611,Prenzlauer Berg Nordwest,Pankow,robbery,210
167,2013,30612,Prenzlauer Berg Nord,Pankow,robbery,80
168,2013,30613,Helmholtzplatz,Pankow,robbery,65
169,2013,30614,Prenzlauer Berg Ost,Pankow,robbery,173
170,2013,30715,Prenzlauer Berg Südwest,Pankow,robbery,117
171,2013,30716,Prenzlauer Berg Süd,Pankow,robbery,55
172,2013,40101,CharlottenburgNord,CharlottenburgWilmersdorf,robbery,287
173,2013,40202,Heerstrasse,CharlottenburgWilmersdorf,robbery,151
174,2013,40203,Westend,CharlottenburgWilmersdorf,robbery,116
175,2013,40304,Schloß Charlottenburg,CharlottenburgWilmersdorf,robbery,196
176,2013,40305,Mierendorffplatz,CharlottenburgWilmersdorf,robbery,274
177,2013,40306,OttoSuhrAllee,CharlottenburgWilmersdorf,robbery,233
178,2013,40307,Neue Kantstraße,CharlottenburgWilmersdorf,robbery,198
179,2013,40308,Kantstraße,CharlottenburgWilmersdorf,robbery,290
180,2013,40309,Kurfürstendamm,CharlottenburgWilmersdorf,robbery,768
181,2013,40310,Halensee,CharlottenburgWilmersdorf,robbery,159
182,2013,40411,Grunewald,CharlottenburgWilmersdorf,robbery,71
183,2013,40412,Schmargendorf,CharlottenburgWilmersdorf,robbery,79
