year;hood_id;neighborhood;district;robbery;street_robbery;injury_assault;agg_assault;threat;theft;car_theft;theft_from_car;bike_theft;burglary;fire_without_intention;arson_with_intention;property_damage;property_damage_graffiti;drugs;criminal_hood
2012;090310;Bohnsdorf;TreptowKöpenick;17;0;512;92;244;2856;151;487;311;227;67;8;781;202;109;1125
2012;090311;Grünau;TreptowKöpenick;56;0;574;204;204;4483;74;1204;1167;389;37;19;1426;593;56;1556
2012;090312;Schmöckwitz/Karolinenhof/Rauchfangswerder;TreptowKöpenick;0;0;320;74;74;3594;49;1305;98;345;74;74;763;222;0;591
2012;090413;KöpenickSüd;TreptowKöpenick;13;0;416;58;128;2567;115;717;435;77;51;19;864;64;45;1114
2012;090414;AllendeViertel;TreptowKöpenick;33;0;606;98;426;3177;197;508;590;49;16;0;1081;246;33;1638
2012;090415;AltstadtKietz;TreptowKöpenick;58;0;1092;218;306;3261;73;393;830;73;73;44;1791;539;146;2519
2012;090416;Müggelheim;TreptowKöpenick;15;15;154;0;200;1737;108;630;323;123;15;15;707;31;15;661
2012;090517;Friedrichshagen;TreptowKöpenick;51;11;366;63;160;2952;92;509;984;160;29;6;824;166;34;990
2012;090518;Rahnsdorf/Hessenwinkel;TreptowKöpenick;22;11;290;78;89;3235;167;569;1171;491;22;0;457;33;22;625
2012;090519;Dammvorstadt;TreptowKöpenick;74;42;1295;318;223;6027;96;456;987;127;138;74;1570;350;371;2589
2012;090520;KöpenickNord;TreptowKöpenick;41;16;366;73;163;1993;33;342;350;268;24;0;716;114;49;960
2012;100101;MarzahnNord;MarzahnHellersdorf;154;62;1951;393;459;3315;150;543;428;137;146;44;1558;243;216;3579
2012;100102;MarzahnMitte;MarzahnHellersdorf;155;66;1595;290;451;4667;230;920;321;111;108;44;1381;131;170;3231
2012;100103;MarzahnSüd;MarzahnHellersdorf;152;55;817;169;252;4248;374;1030;330;114;102;53;1138;224;53;1794
2012;100204;HellersdorfNord;MarzahnHellersdorf;207;113;1988;436;534;4806;140;701;406;85;174;49;1952;528;213;3656
2012;100205;HellersdorfOst;MarzahnHellersdorf;141;60;1567;379;547;3242;114;482;661;54;163;27;1821;466;114;3415
2012;100206;HellersdorfSüd;MarzahnHellersdorf;82;41;919;181;392;2902;144;491;322;107;82;12;1327;400;62;2230
2012;100307;Biesdorf;MarzahnHellersdorf;80;40;561;123;219;4585;143;847;763;386;36;4;847;179;84;1141
2012;100408;Kaulsdorf;MarzahnHellersdorf;112;48;588;80;209;2486;91;476;476;412;11;5;802;144;43;1342
2012;100409;Mahlsdorf;MarzahnHellersdorf;22;15;330;74;182;2249;74;434;330;359;15;7;993;322;85;926
2012;110101;Malchow, Wartenberg und Falkenberg;Lichtenberg;48;24;620;95;477;4246;72;501;262;239;262;119;1288;310;119;1312
2012;110102;NeuHohenschönhausen Nord;Lichtenberg;98;40;1193;193;338;3005;109;375;553;69;55;25;1004;204;146;2783
2012;110103;NeuHohenschönhausen Süd;Lichtenberg;116;46;1275;325;313;3969;162;495;383;116;77;12;1121;135;81;2775
2012;110204;AltHohenschönhausen Nord;Lichtenberg;82;30;995;252;312;5716;134;891;297;438;52;22;1113;223;89;2331
2012;110205;AltHohenschönhausen Süd;Lichtenberg;88;34;796;163;252;4230;201;905;497;238;41;20;1137;245;44;2202
2012;110306;Fennpfuhl;Lichtenberg;82;44;895;243;284;3884;211;766;589;281;54;25;1321;284;69;2358
2012;110307;AltLichtenberg;Lichtenberg;104;42;1457;337;495;8623;241;1366;808;316;108;46;1570;312;146;3406
2012;110308;Frankfurter Allee Süd;Lichtenberg;197;62;694;186;166;5983;248;994;1149;259;62;21;1087;124;538;2070
2012;110409;Neu Lichtenberg;Lichtenberg;92;54;967;232;324;4379;180;511;593;283;102;31;1457;436;211;2499
2012;110410;Friedrichsfelde Nord;Lichtenberg;165;113;1306;323;308;5125;225;1193;293;285;53;15;1516;480;180;2844
2012;110411;Friedrichsfelde Süd;Lichtenberg;116;37;659;141;224;3277;170;589;365;249;41;12;933;253;71;1667
2012;110512;Rummelsburger Bucht;Lichtenberg;123;0;552;184;215;6957;123;2115;1471;215;490;184;2053;613;61;1839
2012;110513;Karlshorst;Lichtenberg;35;13;421;80;182;3073;66;607;549;279;35;9;797;266;106;1209
2012;121031;Ost 1  Reginhardstr.;Reinickendorf;234;82;1559;394;659;4362;148;799;698;429;43;16;1314;133;534;3660
2012;121032;Ost 2  AltReinickendorf;Reinickendorf;196;71;1137;247;502;5979;145;1180;843;310;86;39;1270;208;584;2827
2012;122141;West 1  TegelSüd/Flughafensee;Reinickendorf;76;21;1863;502;763;10696;247;2791;467;722;82;7;1959;186;2145;4427
2012;122144;West 4  AugusteViktoriaAllee;Reinickendorf;196;76;1504;384;676;5414;108;820;428;412;60;32;1312;188;344;3469
2012;122145;West 5  Tegel/Tegeler Forst;Reinickendorf;235;137;2281;656;597;10190;88;1067;1038;313;69;0;2144;460;333;4248
2012;122242;West 2  Heiligensee/Konradshöhe;Reinickendorf;34;13;378;42;272;2406;182;743;395;407;47;25;1269;484;102;1205
2012;122311;Nord 1  Frohnau/Hermsdorf;Reinickendorf;61;24;355;92;220;3240;153;896;765;474;21;12;765;174;122;1040
2012;123012;Nord 2  Waidmannslust/Wittenau/Lübars;Reinickendorf;130;41;1137;271;394;5015;103;877;668;377;55;14;1220;277;353;2302
2012;123021;MV 1  Märkisches Viertel;Reinickendorf;144;59;1384;356;562;5684;184;861;488;280;209;51;1426;203;215;3687
2012;123022;MV 2  Rollbergsiedlung;Reinickendorf;110;24;1257;256;391;5236;98;915;366;354;85;12;1233;122;220;2795
2012;123043;West 3  Borsigwalde/Freie Scholle;Reinickendorf;94;56;908;232;369;3869;150;770;757;419;31;13;1045;125;250;2053
2013;010111;Tiergarten Süd;Mitte;676;461;4012;1138;953;20384;131;3013;1145;477;108;23;2022;215;876;7487
2013;010112;Regierungsviertel;Mitte;570;269;5162;1291;1377;41536;247;3624;2732;355;54;11;3818;1398;721;9271
2013;010113;Alexanderplatz;Mitte;492;310;2996;735;692;21117;177;1579;1924;584;98;42;2703;931;1226;6293
2013;010114;Brunnenstraße Süd;Mitte;154;53;851;192;256;9424;380;919;1348;516;30;11;1378;505;346;3776
2013;010221;Moabit West;Mitte;220;110;1396;365;540;5707;178;1083;786;325;110;28;1244;206;489;3138
2013;010222;Moabit Ost;Mitte;215;105;1405;345;513;7181;232;1263;1000;362;99;45;1184;167;1025;3364
2013;010331;Osloer Straße;Mitte;345;177;2249;580;699;9780;72;1044;771;459;77;22;1218;152;1011;4625
2013;010332;Brunnenstraße Nord;Mitte;352;162;1861;458;558;9064;285;1454;751;547;100;36;1267;234;834;4457
2013;010441;Parkviertel;Mitte;205;90;1681;486;635;6904;175;1336;685;364;76;38;1277;191;557;4066
2013;010442;Wedding Zentrum;Mitte;296;140;2136;630;706;6111;89;1114;590;371;129;46;1519;235;972;4413
2013;020101;Südliche Friedrichstadt;FriedrichshainKreuzberg;316;192;1754;468;615;8591;144;1772;873;471;114;38;1617;213;671;4311
2013;020202;Tempelhofer Vorstadt;FriedrichshainKreuzberg;231;131;1403;391;455;8227;229;998;1509;546;56;23;1299;302;568;3311
2013;020303;nördliche Luisenstadt;FriedrichshainKreuzberg;621;479;2466;852;510;12441;169;732;1557;457;120;18;2262;532;923;5331
2013;020304;südliche Luisenstadt;FriedrichshainKreuzberg;794;639;2126;753;340;9358;250;639;1403;450;121;49;1770;518;2901;4687
2013;020405;KarlMarxAlleeNord;FriedrichshainKreuzberg;138;80;952;280;294;6054;276;841;819;249;62;9;1134;120;120;2820
2013;020407;KarlMarxAlleeSüd;FriedrichshainKreuzberg;372;265;2101;615;457;12148;226;1298;1140;290;64;13;2264;500;935;5006
2013;020506;Frankfurter Allee Nord;FriedrichshainKreuzberg;120;69;1080;257;279;6410;297;543;1431;275;120;47;1594;199;232;3123
2013;020508;Frankfurter Allee Süd FK;FriedrichshainKreuzberg;262;169;1898;628;330;8612;203;705;1397;305;129;55;2687;652;990;4545
2013;030101;Buch;Pankow;89;37;878;148;487;6334;155;1329;1056;214;133;66;1550;406;244;2274
2013;030202;Blankenfelde/Niederschönhausen;Pankow;62;15;485;108;308;3440;135;1054;646;239;81;31;693;131;58;1485
2013;030203;Buchholz;Pankow;18;12;441;112;212;2843;277;436;265;135;12;0;765;135;47;1054
2013;030304;Karow;Pankow;21;11;569;102;215;2411;43;548;542;193;32;16;473;59;32;1106
2013;030307;Blankenburg/Heinersdorf/Märchenland;Pankow;42;7;467;85;269;5827;240;1535;856;446;71;50;842;50;99;1393
2013;030405;Schönholz/Wilhelmsruh/Rosenthal;Pankow;87;47;350;76;221;3520;76;763;734;390;35;17;466;93;58;1125
2013;030406;Pankow Zentrum;Pankow;111;33;663;141;312;6493;135;762;1710;306;42;18;1011;213;87;2329
2013;030408;Pankow Süd;Pankow;49;28;696;160;268;3730;169;684;1207;182;43;15;708;77;83;1888
2013;030509;Weißensee;Pankow;83;27;827;167;378;4924;202;669;747;187;74;48;1264;303;131;2895
